salesperson,sales
Larceny,84306
Simple assault,62657
Criminal mischief,50135
All other offenses,32082
Burglary,30379
Controlled substances,20185
MV theft,13101
Aggravated assault,12099
Disorderly conduct,10808
Robbery,10730
